Experiment_Case,Threshold_deg,Test_Points,Model_Name,Calibration_Points,Calibration_Score_deg,Val_Round_1_deg,Val_Round_2_deg,Val_Round_3_deg,Val_Round_4_deg,Val_Round_5_deg,Mean_Accuracy_deg,Peak_Accuracy_deg,Std_Dev_deg,Mean_Precision_deg
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,Mamba3 (T=7),0p,N/A (Bypass),1.008,0.893,0.758,0.961,0.948,0.914,0.758,0.086,0.157
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,Mamba3 (T=7),5p,0.948°,0.795,1.003,0.996,0.924,0.725,0.889,0.725,0.111,0.155
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,Mamba3 (T=7),9p,0.725°,0.79,0.652,0.447,0.925,0.9,0.743,0.447,0.177,0.154
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,Mamba3 (T=7),12p,0.900°,0.693,0.979,1.157,0.854,0.527,0.842,0.527,0.219,0.143
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,RITnet,0p,N/A (Bypass),0.835,0.941,1.084,0.819,0.807,0.897,0.807,0.105,0.109
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,RITnet,5p,0.819°,0.974,0.901,0.902,0.789,0.893,0.892,0.789,0.059,0.104
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,RITnet,9p,0.789°,0.701,0.857,0.953,0.798,0.856,0.833,0.701,0.083,0.104
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,RITnet,12p,0.577°,0.826,0.816,0.726,0.841,0.937,0.829,0.726,0.067,0.106
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,2D C++,0p,N/A (Bypass),1.109,1.02,Fail,0.86,0.92,0.977,0.86,0.095,0.114
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,2D C++,5p,0.798°,0.976,Fail,1.137,0.933,0.798,0.961,0.798,0.121,0.126
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,2D C++,9p,0.860°,0.696,0.947,0.642,0.657,0.917,0.772,0.642,0.132,0.121
Case 1 (Threshold 1.2° / Test 5p),1.2,5p,2D C++,12p,0.933°,1.129,0.647,0.754,0.842,Fail,0.843,0.647,0.179,0.124
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,Mamba3 (T=7),0p,N/A (Bypass),1.551,1.412,1.711,1.337,1.15,1.432,1.15,0.19,0.16
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,Mamba3 (T=7),5p,1.150°,1.644,1.1,1.26,1.313,1.222,1.308,1.1,0.182,0.142
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,Mamba3 (T=7),9p,1.222°,1.428,1.611,1.653,1.687,1.436,1.563,1.428,0.11,0.139
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,Mamba3 (T=7),12p,1.436°,1.762,1.409,1.454,1.819,1.29,1.547,1.29,0.207,0.132
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,RITnet,0p,N/A (Bypass),1.122,1.285,1.151,1.219,1.412,1.238,1.122,0.104,0.117
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,RITnet,5p,1.412°,1.3,1.355,1.613,1.344,1.137,1.35,1.137,0.153,0.107
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,RITnet,9p,0.888°,1.057,1.12,1.289,1.118,1.088,1.134,1.057,0.081,0.107
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,RITnet,12p,1.137°,0.98,1.028,1.156,1.063,1.061,1.058,0.98,0.058,0.106
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,2D C++,0p,N/A (Bypass),1.403,1.551,1.893,Fail,1.541,1.597,1.403,0.181,0.133
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,2D C++,5p,1.088°,1.557,1.459,1.495,1.591,1.409,1.502,1.409,0.066,0.142
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,2D C++,9p,1.541°,1.401,1.8,1.516,1.439,1.563,1.544,1.401,0.14,0.142
Case 2 (Threshold 2.0° / Test 5p),2.0,5p,2D C++,12p,1.409°,1.429,1.69,1.411,1.095,1.631,1.451,1.095,0.209,0.153
Case 3 (Threshold 2.0° / Test 4p),2.0,4p,Mamba3 (T=7),0p,N/A (Bypass),1.119,1.475,1.518,1.925,1.359,1.479,1.119,0.262,0.174
Case 3 (Threshold 2.0° / Test 4p),2.0,4p,Mamba3 (T=7),5p,1.359°,1.172,1.53,1.184,1.202,1.099,1.237,1.099,0.15,0.149
Case 3 (Threshold 2.0° / Test 4p),2.0,4p,Mamba3 (T=7),9p,1.099°,0.864,1.574,1.402,1.226,1.438,1.301,0.864,0.245,0.146
Case 3 (Threshold 2.0° / Test 4p),2.0,4p,Mamba3 (T=7),12p,1.438°,0.466,1.828,1.555,1.771,1.544,1.433,0.466,0.497,0.144
